corpus_data
;token;tag
244;естественно;ADV
245;и;CCONJ
246;логично;ADV
247;,;PUNCT
248;что;SCONJ
249;,;PUNCT
250;растапливая;GRND
251;в;ADP
252;Купавне;PROPN
253;печь;NOUN
254;и;CCONJ
255;листая;GRND
256;старые;ADJF
257;партийные;ADJF
258;газеты;NOUN
259;,;PUNCT
260;одинокий;ADJF
261;дачник;NOUN
262;не;PART
263;мог;VERB
264;поверить;INFN
265;в;ADP
266;реальность;NOUN
267;всего;SPRO
268;в;ADP
269;них;SPRO
270;содержавшегося;VERB
271;:;PUNCT
272;и;CCONJ
273;в;ADP
274;то;DET
275;,;PUNCT
276;что;SCONJ
277;сам;APRO
278;был;AUX
279;пионером;NOUN
280;,;PUNCT
281;выносил;VERB
282;на;ADP
283;сцену;NOUN
284;Дворца;NOUN
285;съездов;NOUN
286;золотой;ADJF
287;ключик;NOUN
288;и;CCONJ
289;—;PUNCT
290;поди;INTJ
291;ж;PART
292;ты;SPRO
293;,;PUNCT
294;чем;SPRO
295;не;PART
296;диссидент;NOUN
297;!;PUNCT
298;—;PUNCT
299;отказался;VERB
300;читать;INFN
301;приветствие;NOUN
302;в;ADP
303;честь;NOUN
304;дорогого;ADJF
305;и;CCONJ
306;любимого;ADJF
307;Леонида;PROPN
308;Ильича;PROPN
309;Брежнева;PROPN
310;.;PUNCT
311;У;ADP
312;феномена;NOUN
313;Дали;PROPN
314;другая;ADJF
315;структура;NOUN
316;и;CCONJ
317;природа;NOUN
318;.;PUNCT
319;И;CCONJ
320;,;PUNCT
321;само;APRO
322;собой;SPRO
323;,;PUNCT
324;продажи;NOUN
325;Дали;PROPN
326;не;PART
327;идут;VERB
328;ни;PART
329;в;ADP
330;какое;APRO
331;сравнение;NOUN
332;с;ADP
333;продажами;NOUN
334;Пикассо;PROPN
335;.;PUNCT
336;В;ADP
337;каждое;APRO
338;ухо;NOUN
339;ввой;VERB
340;:;PUNCT
341;вся;APRO
342;земля;NOUN
343;–;PUNCT
344;каторжник;NOUN
345;с;ADP
346;наполовину;ADV
347;выбритой;ADJF
348;солнцем;NOUN
349;головой;NOUN
350;!;PUNCT
351;Празднику;NOUN
352;тела;NOUN
353;сердце;NOUN
354;вызнакомь;VERB
355;.;PUNCT
356;Нынче;ADV
357;словом;NOUN
358;не;PART
359;пофанфороните;VERB
360;-;PUNCT
361;шею;NOUN
362;крючь;VERB
363;да;CCONJ
364;спину;NOUN
365;гни;VERB
366;.;PUNCT
367;На;ADP
368;вершочном;ADJF
369;незаметном;ADJF
370;фронте;NOUN
371;завоёвываются;VERB
372;дни;NOUN
373;.;PUNCT
374;Приёмные;ADJF
375;комиссии;NOUN
376;были;AUX
377;созданы;PRTS
378;в;ADP
379;Горьком;PROPN
380;,;PUNCT
381;Киеве;PROPN
382;,;PUNCT
383;Ленинграде;PROPN
384;,;PUNCT
385;Москве;PROPN
386;и;CCONJ
387;Тбилиси;PROPN
388;.;PUNCT
389;В;ADP
390;ООН;NOUN
391;отказались;VERB
392;вступать;INFN
393;в;ADP
394;конфликт;NOUN
395;с;ADP
396;Маском;PROPN
397;по;ADP
398;поводу;NOUN
399;миграции;NOUN
400;.;PUNCT
401;Ольга;PROPN
402;отметилась;VERB
403;во;ADP
404;многих;ADJF
405;популярных;ADJF
406;сериалах;NOUN
407;2000-х;NUM
408;годов;NOUN
409;,;PUNCT
410;таких;APRO
411;как;SCONJ
412;«;PUNCT
413;Солдаты;NOUN
414;»;PUNCT
415;,;PUNCT
416;«;PUNCT
417;Моя;APRO
418;прекрасная;ADJF
419;няня;NOUN
420;»;PUNCT
421;,;PUNCT
422;«;PUNCT
423;Ранетки;NOUN
424;»;PUNCT
425;,;PUNCT
426;«;PUNCT
427;Воронины;PROPN
428;»;PUNCT
429;,;PUNCT
430;«;PUNCT
431;Папины;ADJF
432;дочки;NOUN
433;»;PUNCT
434;.;PUNCT
435;В;ADP
436;последнем;ADJF
437;она;SPRO
438;сыграла;VERB
439;роль;NOUN
440;Изольды;PROPN
441;Анатольевны;PROPN
442;,;PUNCT
443;инспектора;NOUN
444;РОНО;NOUN
445;(;PUNCT
446;в;ADP
447;трех;NUM
448;сериях;NOUN
449;);PUNCT
450;.;PUNCT
451;Ряд;NOUN
452;учёных;NOUN
453;из;ADP
454;Германии;PROPN
455;,;PUNCT
456;Италии;PROPN
457;,;PUNCT
458;Франции;PROPN
459;,;PUNCT
460;Швеции;PROPN
461;,;PUNCT
462;США;PROPN
463;,;PUNCT
464;Китая;PROPN
465;,;PUNCT
466;Кореи;PROPN
467;удостоены;PRTS
468;звания;NOUN
469;почётного;ADJF
470;профессора;NOUN
471;и;CCONJ
472;доктора;NOUN
473;СПбГТИ;NOUN
474;(;PUNCT
475;ТУ;NOUN
476;);PUNCT
477;.;PUNCT
478;Настоящей;ADJF
479;жемчужиной;NOUN
480;в;ADP
481;творчестве;NOUN
482;Мамина-Сибиряка;PROPN
483;стал;VERB
484;роман;NOUN
485;«;PUNCT
486;Приваловские;ADJF
487;миллионы;NOUN
488;»;PUNCT
489;.;PUNCT
490;Когда;SCONJ
491;фельдшер;NOUN
492;стал;VERB
493;искать;INFN
494;нового;ADJF
495;больного;NOUN
496;,;PUNCT
497;ему;SPRO
498;указали;VERB
499;на;ADP
500;конец;NOUN
501;коридора;NOUN
502;.;PUNCT
