,Класс,Текст
42,1,всем привет у меня кожа не ровная то веснушки то пигментные пятна то еще высыпало зацвело тональными средствами пользуюсь круглый год поэтому у меня этих тональников склад есть еще не показанныйтональный крем с обратной стороны есть информация написано что крем средней плотности покрытия уже покупая я примерно представляла чего у крема тоненький легко дозировать хоть по капельке если не хватило то можно подкорректировать экономно меня тон есть распределяется по коже на коже не ощущаетсяне стойкости слабоват примерно часа начинает исчезать с кожикрем стоит рублей поэтому я и не думала что он будет течении дня подправляю меня остался футляр от кушона для лица в помыла и вот я подлила кремушка туда и спонжиком подправляю хожу теперь крем всегда со мной и удобно и экономично а вот мои отзывы на другие тональные средства тональный крем жидкийтональный с гиалуроновой кислотой крем кушон для лица с увлажняющим эффектомкушон тональный крем часа матовое покрытие крем
43,1,всем привет я жертва рекламы и отзывов на самом деле много читала отзывов на этот тональный крем и мне не приходило в голову купить тут у меня все тональные средства подошли к концу и нужно было выбрать подумала а почему бы и да заказала на вб еще со скидкой вышел рублей не плохо так тональный крем жидкий стильный стеклянный пузырек с пипеткой на обратной стороне есть информация объем крема заказала желтого под тона но и розового тоже нет крем очень спешить при нанесении что бы тон распределился должна быть перед применением подготовлена увлажнена и нанесен праймер тогда крем ляжет ровно и не подчеркнет несовершенства чешуйки сухость примерно процентов пахнет он кстати стойкости тоже не плох часа могу ходить и не поправлять пудрой окисляется оттенка не меняет
44,1,всем привет ох давно я не пользовалась тональными кремами в последнее время все больше использовала различные вв не проблемная и вообщем то скрывать мне нечего за исключением тех дней когда вдруг ниоткуда появляется какой нибудь целом кожа нормальная смешанного типа единственное что меня беспокоит это не совсем ровный цвет лица который хотелось бы освежить перед выходом в свет почему обхожу стороной тональники не люблю плотный слой штукатурки на лице а еще как правило все предыдущие тональные крема сушили мне кожу и оставляли после себя неприятную стянутость тональный крем свежий тон купила лишь по одной причине цена мимо которой я просто не могла пройти когда увидела его в продаже за рублей рука сама потянулась к крем для лица водостойкое дышащее средство позволяющее сохранить свежий тон лица в течение часов революционная формула создает совершенное и легкое покрытие словно вторая кожа крем абсолютно не чувствуется благодаря сохранению естественного дыхания поверхности кожи тональный крем свежий тон место покупки магнит косметик цена рублей по скидке полная стоимость в районе рублей объем мл бренд оттенок крем помещен в стеклянный продолговатый флакончик оформление дорогое и стильное на мой взгляд на лицевой стороне упаковки кроме названия бренда и самого средства больше ничего нет тональный крем свежий тон обратная сторона флакончика более информативна и несет в себе всю необходимую информацию о составе и дату изготовления и срок годности прошу не обращать внимание отзыв долго пылился в черновиках и я все откладывала его написание тональный крем свежий тон также по пунктам перечислены все достоинства тонального крема тональный крем свежий тон если отклеить этикетку то во внутренней её части можно найти состав тональный крем свежий тон может содержать оттенок тонального крема указан на верхней части оттенков у крема не мало выбрать есть из чего тональный крем свежий тон я выбрала номер так как он больше всего подходил к моему родному оттенку кожи лица колпачок хорошо защищает дозатор от случайного нажатия и ни разу ещё такого не было чтобы он самопроизвольно открылся и запачкал мне всю косметичку или сумочку кремом тональный крем свежий тон дозатор помповый очень удобный выдает за один раз небольшое количество продукта тональный крем свежий тон в носике крем не подсыхает тональный крем свежий тон тональный крем свежий тон не густой а скорее даже жидкий напоминает флюид текстура однородная водянистая но при этом и приятная масляность в ней тоже присутствует но умеренная тональный крем свежий тон оттенок может показаться слишком желтым или даже рыжим но этого не стоит бояться при нанесении он идеально подстраивается под тон кожи и при хорошем растушевывании граней нанесения совсем не видно тональный крем свежий тон у крема приятный легкий еле ощутимый пудровый аромат который в носке вообще не ощущается тональный крем свежий тон тональный крем свежий тон наносить и растушевывать данный крем лучше всего влажным спонжем он идеально ложится тончайшей вуалью не подчеркивает шелушения не полосит и не скатывается но кожу лучше все же подготовить к нанесению хорошо увлажнить дневным кремом для лица ощущения при нанесении тонального крема свежий тон очень комфортные тонкий слой продукта на лице не даёт парникового эффекта и не лежит маской я его в течении дня вообще не ощущаю забываю что есть что то декоративное на коже тональник не сушит кожу финиш в первые минуты слегка влажный но в последствии натуральный и очень комфортный жирности крем также не провоцирует я его никогда не припудриваю скрывающая способность на мой взгляд средняя по эффекту он напоминает мне вв крем да цвет лица выровняет но если есть что прятать то вряд ли прекрасно справляется с покраснениями и неровностями на коже не проваливается в поры и не подчеркивает их подойдет всем типам кожи особенно нормальному и смешанному тональный крем свежий тон стойкость хорошая восьмичасовой рабочий день выдерживает отлично крем не окисляется на коже смывается обычным средством для снятия макияжа я обычно удаляю его в конце дня гидрофильным маслом или мицеллярной водой а может и тем и другим сразу за всё время что я пользовалась тональным кремом свежий тон кожу он мне не испортил не спровоцировал забитых пор и воспалений вообще ничего плохого я про этот продукт сказать не могу без эффекта проваливается в сушит ощущения нанесения маски покраснения и выравнивает тон кожи а мне понравился бюджетный вв крем который даст фору своим более дорогим идеальное тональное средство ориентированное на быстрое и качественное выравнивание тона кожи замечательно скрывает мелкие недостатки при этом оставаясь незаметным на бьюти блоггеров тональный крем за свои скромные деньги очень даже хорош крем с эффектом бальзам красоты громко очень громко наивность романтичность нежность и легкость всё это без труда вы найдёте в тональном флюиде подложила ты мне свинью крем всё о плюсах и минусах рекомендую
46,1,всем привет сегодня герой моего отзыва тональный крем это тонирующий крем специально разработанный для проблемной кожи склонной к появлению угрей и акне он содержит активные ингредиенты которые помогают бороться с проблемами кожи и улучшают ее внешний вид идеально подходит для жирной и комбинированной кожи общая информация объем млсрок годности после вскрытия месяцевссылка на официальный сайтцена около рублей на озон описание продается в тюбике емкостью мл но есть и больше объемом версии дизайн стильный и элегантный тюбик компактный и удобный для хранения и транспортировки что позволяет брать его с собой в дорогу или на работу на обратной стороне есть информация о товаре и состав крем содержит салициловую кислоту которая уменьшает количество высыпаний и предотвращает их появление в будущем но в составе есть минеральное масло поэтому крем может не всем указан срок годности есть защита от вскрытия в виде наклейки которая соединяет крышу и тюбик у меня самый светлый оттенок мне отлично подошёл и выровнял разный тони кожи на лице и шеи крем жидкий приятно пахнет легко тушуется применение у меня чувствительная кожа есть расширенные поры покраснения и неровный тон именно от этих проблем я выбрала этот крем крем легкий хорошо ложится без проплешин я наношу крем кистью все отлично получается и главное ровно тон кожи получается ровный гладкий рельеф без комочков для молодой кожи крем отличный у меня он в процессе носи в течении дня провалился в мимические морщины и подчернил их сразу после нанесения крема я зафиксировала его пудрой и завершила макияж мне очень понравился тон крема он идеален для светлой кожи мне удалось выровнять им тон лица и шеи смотрится гармонично крем очень приятный в использовании ложится ровно тонким слоем хорошо скрывает покраснения и расширенные поры тональный крем рекомендую благодарю за внимание
49,1,приветики я уже и забыла что хотела попробовать этот тональник уже две новые коллекции вышли у бренда а я только вспомнила про этот черепок ладно хоть он еще продавался я покупала в магнит косметик цена руб дизайн что тут говорить все прекрасно розовый череп что еще нужно сделан он вроде из прочного стекла а не из пластика точно сказать могу сверху есть пипеточка для набора средства набирается все хорошо наносить на лицо тоже не составляет проблем главное много не набирать также сверху была прицеплена бирка с информацией о креме и производителе у меня оттенок всего в линейке оттенка в баночке в принципе не так мало я на него внимание сразу обратила как только он появился в продаже но брать не стала тоналками не пользуюсь потом попадалась обзоры с этой линейкой и все говорили что он вообще не похож на тональник просто легкий я подумала если как бибишка почему бы и не взять ага и вспомнила про него спустя полгода я взяла самый светлый оттенок и не прогадала мне подошел идеально как и говорили девчонки покрытие у него действительно легкое главное не перебарщивать я не люблю когда на лице видно тон поэтому плотные варианты не для меня наносится он хорошо равномерно я наношу влажным спонжем в принципе перекрывает мелкие покраснения веснушки и синяки под глазами нормально что еще от него требуется возможно если вылить на лицо пол флакона вы и получите идеально ровный тон но видно все шелушения будет даже если вы думаете что у вас их нет так что в любом случает лучше увлажнять кожу перед нанесением тональных средств я продолжу пользоваться этим тоном единственное что мне не понравилось это его аромат вопрос а почему туда не закинули ничего приятно пахнущего это странно конечно
50,1,я не очень люблю пользоваться тональными кремами потому что долгое время не могла найти свой единственный то кожу сильно сушил то блеск появлялся непонятный купила по итогу галант косметик он подошел мне по всем параметрам несколько оттенков в линейке я взяла золотистый беж понравилось что он достаточно ровно ложится крем оказался по тону схож с моей кожей не выделяется пятен нет хорошо маскирует недостатки выравнивает бледность наоборот покраснение по консистенции не слишком жидкий но и густой в меру наносится как спонжиком так и кисточкой пробовала даже просто пальчиками тоже хорошо он ничем не пахнет отдушка легкая и потом не чувствуется на коже в течение дня он не становится желтым и не скатывается хорошо держится на коже финиш у него с матовым покрытием так что и жирного блеска тоже нет не надо поэтому подпудривать и вообще в целом на пудру тратиться еще мне понравилось что он легко смывается и кожу не раздражает в поры не забивается лицо после него остается чистым никаких воспалений не появляется хотя пользуюсь уже достаточно давно очень здорово что он стоит не так дорого и расход получается экономичный советую однозначно к покупке не ожидала сама что крем из еще и от такого бюджетного бренда вызовет такой восторг вроде и тюбик не такой приметный однако продается только не везде у нас город небольшой в магазинах косметики не встречала заказывала через яндекс и доставили быстро напрямую от производителя доставляли опять же плюс упакован был тщательно
51,1,всем привет в этом отзыве расскажу вам о своих впечатлениях о тональном креме этот тон неслабо меня удивил хотя я пробовала много разных тональных далее расскажу почему где купить золотое яблоко летуаль стоимость руб объем мл тональный крем оформлен очень стильно это вытянутая баночка с помпой в черном цвете с прозрачной вставкой мне оформление очень нравится на самой баночке очень много надписей номер оттенка указан на наклейке и на крышке русифицированная наклейка от импортера тоже имеется страна производства турция в качестве дозатора установлена помпа механизм очень плавный продукт дозирует небольшими порциями очень экономно в линейке очень много оттенков этого тона я встречала около в золотом яблоке у меня оттенок третий по насыщенности плотность у тона просто феноменальная я такого еще не встречала тон очень пигментированный такой маленькой капли как на фото хватит на все лицо если не больше ниже я растерла ее по руке видно что можно было бы продолжить разносить средство и по большей площади а вот оттенок кончено желтоват здесь кроется минус за который я сняла тону звезду мало того что оттенки рыжеватые они еще и окисляются после нанесения у меня кожа светлая мне такой оттенок не подошел к сожалению но я придумала что с ним делать по консистенции тон достаточно плотный густой кажется даже что немного масляный по коже разносится приятно однако быстро фиксируется поэтому долго кистью желательно не махать поскольку оттенок мне не подходит я использую его как аджастер для тональных которые стали для меня светлыми летом у меня кожа нормальная склонная к сухости есть небольшие воспаления и добавляю буквально капельку в легкий ежедневный увлажняющий тон такой капли достаточно чтобы сделать его на тон темнее и заметно более пигментированным и плотным вот такой эффект я получаю стойкость тоже улучшается соло у этого тонального финиш сначала сатиновый потом постепенно становится полуматовым вместе они выглядят тоже достойно вообще мне очень понравился этот лайфхак я пробовала смешивать его с многими тональными все становились более укрывситыми и стойкими за что ему определенно плюс могу посоветовать этот тональный крем комбинированной или жирной коже однако учитывайте что финиш сатиновый также этот тон оценят обладатели проблемной кожи поскольку он отлично перекрывает главное не забывайте его хорошо смывать ну а сухой коже можно попробовать взять его для смешивания в качестве аджастера у меня он хорошо в этой роли прижился на этом все спасибо за внимание
55,1,девочки здравствуйте все мы как можно дольше хотим оставаться не только молодыми но и красивыми и я конечно же не исключение от природы я бледная то декоративной косметикой пользуюсь косметику в основном от компании эйвон представителем которой являюсь уже много лет она хорошего качества и доступна по кремами пользуюсь тоже постоянно предпочтение отдаю кремам с лёгкой не плотной текстурой которые не создают эффект маски на в сияние из уходовой линейки заказала впервые стоит он не дёшево тенге рублей стандартный ультрасветлый изготовления указывается на крышке коробочки и с обратной стороны на шве тюбика срок годности года от даты изготовления но после того как вы начнёте им пользоваться срок годности сокращается до не тестировался на картонная коробочка лицевой стороны указывается название крема с обратных сторон на разных языках можно ознакомиться с информацией о производителе креме способе применения и составе состав внутри коробочки помимо тюбика с кремом вложена инструкция с подробной информацией о данном средстве честно говоря первый раз встречаю тональный крем к которому отдельно вложена инструкция по применению обычно вся информация указывается на мягкий белого цвета с оранжевой вставкой с лицевой стороны на этой вставке указывается название крема с обратной стороны тюбика в верхней его части указан тон крема и краткая информация по его применению закрывает тюбик плотно белая пластиковая крышка открывает без усилий крем лёгкой текстуры средней консистенции не густой и не жидкий цвет без желтизны аромат специфический еле уловимый крем по заявлению производителя выполняет пять функций активизурует регенерацию новых клеток кожи разглаживает мелкие морщинки помогает скрыть видимые несовершенства кожи выравнивает тон придаёт естественное сияниеспособ применения обычный наносится крем на предварительно очищенную кожу лица в небольшом количестве и равномерно распределяется я наношу крем после очищения кожи и нанесения дневного увлажняющего крема не густой консистенции тональный крем можно наносить просто на очищенную кожу без предварительного её увлажнения крем после увлажнения лучше и ровнее распределяется и не забивается в поры после нанесения крема тон кожи выравнивается скрыты мелкие её недостатки и покраснения становятся менее заметными мелкие течении дня кожа не жирная не блестит и действительно заметно естественное её сияние и самое главное нет эффекта маски на лице крем практически более видимые недостатки кожи крем конечно не скроет но сделает их менее заметными как и не скроет глубокие эффекта я после двух недель применения крема тоже не заметила итог хочу сказать крем хороший лёгкий идеален для использования в тёплое время года особенно летом он довольно устойчив в течении дня не скатывается и не пачкает к покупке одно но высокая стоимость крема
56,1,увлажняющий тональный крем с коллагеном с у меня тон натуральный бежевый данная тональная основа с лёгкостью подстраивается под ваш тон кожи придавая ей свеженький здоровый холёный вид и естественное сияние кожа очень заметно преображается тон выравнивается класс в состав средства входит коллаген и гиалуроновая кислота эти компоненты интенсивно увлажняют кожу подтягивая и повышая эластичность эпидермиса а также предотвращает появление сухости и шелушений я считаю что этот продукт больше подойдёт для обладателей сухой кожи лица тон натуральный бежевый вот так выглядит упаковка тюбик очень серьёзного объёма расход не очень большой лично у меня основная моя задача с кремом это маскировать пигментацию вот такая консистенция у крема вот что происходит после нанесения на чистую и сухую кожу а это после полного распределения крема данный крем рекомендую отличный бюджетный вариант со своими задачами справляется хорошо но если у вас очень сильная к примеру пигментация или др недостатки крем полностью дефекты не перекроет я бы сказала покрытие примерно на отдушка у крема минимальная для меня приятная не раздражает что важно девчата заказывайте не пожалеете достойный вариант за такую цену и объём согласитесь
57,1,здравствуйте сегодня я хочу поделиться впечатлением о тональном креме матовая кожа невидимые поры для нормальной и склонной к жирности кожи место покупки магазин летуаль цена руб внешний вид тональный крем находится в пластиковом мягком тюбике цвета на обратной стороне тюбика имеется информация о креме состав не самый лучший к сожалению показать цитату у тюбика есть дозатор тон у меня тон консистенция крем по консистенции чуть ниже средней плотности аромат аромат не сильный приятный быстро улетучивается моя кожа моя кожа возрастная мне нормального типа смуглая имеется нежелательная пигментация темные круги под глазами необходимо выровнять тон кожи и скрыть темные круги способ применения небольшое количество тонального крема нанеси на предварительно увлажненную кожу лица и растушуй кистью спонжем или кончиками пальцев применение утром умываю лицо гелем затем наношу солнцезащитный спрей он защищает от ультрафиолета и делает кожу мягкой вот теперь наношу спонжем тональный крем распределяю на всё лицо кроме верхних век на данный тональный крем отлично ложится белорусская энергия минералов бронез солнечное сияние и хайлайтер демакияж этот тональный крем отлично смывается пенкой для умывания мицеллярной водой или гидрофильным маслом подытожу тональный крем матовая кожа невидимые поры для нормальной и склонной к жирности мне очень понравился он отлично ложится на кожу покрывая ее полностью и маскирует недостатки в виде тёмных кругов под глазами и нежелательную пигментацию без эффекта маски при этом данный тональный крем не иссушил мою кожу с нормальным типом не сколнной к жирности наоборот кожа приятная на ощупь мягкая и бархатистая летом этот тональный крем отлично матирует мою кожу во время жары ведь в жару потеть может и лицо с нормальным типом кожи к тому же данный крем дышащий лицо пот слоем этого тонального крема не потеет тон отлично подошел к моей смуглой от природы но не загорелой коже тон очень приятный естественный не желтит и не уходит в розовый оттенок выглядит натурально также данный тональный крем не конфликтует с другой косметикой и очень стойкий держится весь день недостаток к сожалению он не идеальный за это снимаю одну звезду плюсы приятный дизайн тюбика удобный дозатор хорошо распределяется по коже отлично маскирует недостатки выравнивает тон кожи без эффекта маски смягчает не сушит не забивает поры дышащий не конфликтует с косметикой не вызывает аллергию стойкий минусы состав
61,1,привет должен быть хороший тональный крем для меня в первую очередь должен обладать так начнем стоимость тона в магазине золотое яблоко составила рублей точно не помню это со скидкой или также можно найти это в любых магазинах в интернете в стиле бренда выполнена в сиреневом цвете достаточно дозатор который позволяет выдавить небольшое количество крема и не присутствует в тоне и это очень даже хорошо не слишком большой процент но крем можно от лёгкого до среднего покрытия сделать очень плотное покрытые будет я спонжем а также кистью из в нанесении визажист и крем я использую в основном на молодой коже либо на коже которая не имеет сильных от бренда обладает хорошей стойкостью но все равно я использую пудру на всякий случай что бы макияж держался достаточно комфортный тон который не создаст эффект маски на вашем
62,1,приветствую вас недавно нашла для себя интересного книжного блокера который поделился своим опытом использования тонального средства я уделила этому свое внимание показала косметическое средство светлого оттенка как раз для думая я решила попробовать его на его на очень даже приличная была достаточно производства греция тональное средство на мой взгляд подходит очень классно нет явного перепада с лица к шеи ложится плотно но в тоже время отсутствует ощущение некой маски и кожа все же дышит чего не могу сказать про другие средства после нанесения он незаметен также я заметила что тональник не оставляет пятен на это легко обычной пенкой либо другим средством для смывания косметики тюбик является очень миниатюрным и занимает мало место в моей небольшой косметичке я однозначно советую его попробовать а уже на вкус и цвет как говорится после того как средство закончится я закажу себе еще точно такой нравится эффект он выглядит натурально
63,1,с этой тональной основой белорусского производства в очередной раз убедилась что цена не всегда равна качеству и что на рынке декоративной косметики в достаточном количестве имеются отличные продукты которые позволяют выглядеть хорошо за сравнительно небольшой бюджет данных тюбиков от люкс визаж я за несколько лет истратила уже столько что наверное и не вспомню точное число и почему именно этот бренд и эта их линейка потому что для комби кожи он идеальный это тот тональник который не даёт жирного блеска не течёт но при этом не сушит имеет почти матовый финиш убирает шелушения и не подчёркивает те что имеются потому что как показывает практика матирующие тональники часто подчёркивают все недостатки а этот тюбик от люкс визаж вроде и матирует но при этом ощущается на коже как хороший увлажняющий крем носится в течение дня без проблем а если закрепить сверху фиксатором макияжа то переживёт и ночь в клубе проверено лично
64,1,всем здравствуйте хочу оставить отзыв на данный товар этот крем действительно маструющий и хорошо выравнивает цвет лица данным тональным кремом пользую очень давно всё нравится в линейке есть три цвета тональный крем не тестируется на животных упокован отлично коробка выглядит презентабельно внутри сам тональный крем дозатор удобный и не хлипкий сам носик дозатора маленький и выдавливает мало тона по этому очееь удобно флакон с крышкой выполнен из стекла сама по себе баночка выглядит миниатюрно и опрятно что удобно помещается в руке по цене очень даже не плохо все отлично всем советую
65,1,доброго времени суток всем читателям сайта сейчас стала часто покупать средства данного бренда так как в близлежащем тц открылся небольшой отдел где продают уходовую и декоративную косметику парфюмерию от лето покупаю тональный крем бежевого цвета он отлично подходит под загар в другое время беру на тон этот раз тональник шёл без картонной упаковки он был в одном экземпляре поэтому расспрашивать у продавца не стала купила то что было состава на флаконе нет объем мл описаниематирующий тональный крем делает кожу бархатистой а цвет лица безупречным для жирной комбинированной кожи текстура жидкаясодержит экстракты алоэ и лаванды чтобы успокоить кожу и снять покраснения экстракт ромашки для увлажнения кожи преимущества легко наносится дарит бархатистость скрывает несовершенствакрем легко наносится и растушевывается принимает цвет кожи и маскирует незначительные дефекты хорошо снимается мицелляркой а ещё мне нравится что присутствует увлажнение эффект маски удобный крем очень хороший стойкий цена бюджетная рублей
