token;tag
в;ADP
творчестве;NOUN
мамина-сибиряка;NOUN
стал;VERB
роман;NOUN
приваловские;ADJ
миллионы;NOUN
когда;CONJ
фельдшер;NOUN
стал;VERB
искать;VERB
нового;ADJ
больного;NOUN
ему;PRON
указали;VERB
на;ADP
конец;NOUN
коридора;NOUN
